2021-09-30 02:08:24.727 INFO  com.jiawa.wiki.aspect.LogAspect                   :42   [32m                  [0;39m 类名方法: com.jiawa.wiki.controller.DocController.all
2021-09-30 02:08:24.728 INFO  com.jiawa.wiki.aspect.LogAspect                   :43   [32m                  [0;39m 远程地址: 127.0.0.1
2021-09-30 02:08:24.728 INFO  com.jiawa.wiki.aspect.LogAspect                   :63   [32m                  [0;39m 请求参数: [1]
2021-09-30 02:08:24.729 DEBUG com.jiawa.wiki.mapper.DocMapper.selectByExample   :137  [32m                  [0;39m ==>  Preparing: select id, ebook_id, parent, `name`, sort, view_count, vote_count from doc WHERE ( ebook_id = ? ) order by sort asc
2021-09-30 02:08:24.730 DEBUG com.jiawa.wiki.mapper.DocMapper.selectByExample   :137  [32m                  [0;39m ==> Parameters: 1(Long)
2021-09-30 02:08:24.731 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==    Columns: id, ebook_id, parent, name, sort, view_count, vote_count
2021-09-30 02:08:24.732 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==        Row: 1, 1, 0, 文档1, 1, 0, 0
2021-09-30 02:08:24.732 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==        Row: 2, 1, 1, 文档1.1, 1, 0, 0
2021-09-30 02:08:24.733 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==        Row: 4, 1, 3, 文档2.1, 1, 0, 0
2021-09-30 02:08:24.734 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==        Row: 6, 1, 5, 文档2.2.1, 1, 0, 0
2021-09-30 02:08:24.734 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==        Row: 98418415127105536, 1, 0, test, 1, null, null
2021-09-30 02:08:24.735 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==        Row: 3, 1, 0, 文档2, 2, 0, 0
2021-09-30 02:08:24.736 TRACE com.jiawa.wiki.mapper.DocMapper.selectByExample   :143  [32m                  [0;39m <==        Row: 5, 1, 3, 文档2.2, 2, 0, 0
2021-09-30 02:08:24.736 DEBUG com.jiawa.wiki.mapper.DocMapper.selectByExample   :137  [32m                  [0;39m <==      Total: 7
2021-09-30 02:08:24.737 INFO  com.jiawa.wiki.aspect.LogAspect                   :75   [32m                  [0;39m 返回结果: {"content":[{"ebookId":1,"id":1,"name":"文档1","parent":0,"sort":1,"viewCount":0,"voteCount":0},{"ebookId":1,"id":2,"name":"文档1.1","parent":1,"sort":1,"viewCount":0,"voteCount":0},{"ebookId":1,"id":4,"name":"文档2.1","parent":3,"sort":1,"viewCount":0,"voteCount":0},{"ebookId":1,"id":6,"name":"文档2.2.1","parent":5,"sort":1,"viewCount":0,"voteCount":0},{"ebookId":1,"id":98418415127105536,"name":"test","parent":0,"sort":1},{"ebookId":1,"id":3,"name":"文档2","parent":0,"sort":2,"viewCount":0,"voteCount":0},{"ebookId":1,"id":5,"name":"文档2.2","parent":3,"sort":2,"viewCount":0,"voteCount":0}],"success":true}
2021-09-30 02:08:24.738 INFO  com.jiawa.wiki.aspect.LogAspect                   :76   [32m                  [0;39m ------------- 结束 耗时：12 ms -------------
2021-09-30 02:09:06.169 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor  :218  [32m                  [0;39m Shutting down ExecutorService 'applicationTaskExecutor'
2021-09-30 02:09:06.172 INFO  com.zaxxer.hikari.HikariDataSource                :350  [32m                  [0;39m HikariPool-1 - Shutdown initiated...
2021-09-30 02:09:06.179 INFO  com.zaxxer.hikari.HikariDataSource                :352  [32m                  [0;39m HikariPool-1 - Shutdown completed.
